Continent,Region,Country,Value,Type,Year_
America,America,USA,19669.0,Imports,2017
America,America,Rest Of America,1568.0,Imports,2017
America,America,America Unallocated,49.0,Imports,2017
Asia,Asia,China,825.0,Imports,2017
Asia,Asia,Hong Kong,808.0,Imports,2017
Asia,Asia,India,2574.0,Imports,2017
Asia,Asia,Indonesia,48.0,Imports,2017
Asia,Asia,Israel,357.0,Imports,2017
Asia,Asia,Japan,3072.0,Imports,2017
Asia,Asia,Malaysia,127.0,Imports,2017
Asia,Asia,Pakistan,39.0,Imports,2017
Asia,Asia,Philippines,179.0,Imports,2017
Asia,Asia,Saudi Arabia,111.0,Imports,2017
Asia,Asia,Singapore,1213.0,Imports,2017
Asia,Asia,South Korea,278.0,Imports,2017
Asia,Asia,Taiwan,140.0,Imports,2017
Asia,Asia,Thailand,71.0,Imports,2017
Asia,Asia,Rest Of Asia,1016.0,Imports,2017
Asia,Asia,Asia Unallocated,277.0,Imports,2017
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,1163.0,Imports,2017
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,131.0,Imports,2017
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,15.0,Imports,2017
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,0.0,Imports,2017
Africa,Africa,Nigeria,88.0,Imports,2017
Africa,Africa,South Africa,471.0,Imports,2017
Africa,Africa,Rest Of Africa,872.0,Imports,2017
Africa,Africa,Africa Unallocated,239.0,Imports,2017
Europe,European Union (EU),Austria,548.0,Imports,2018
Europe,European Union (EU),Belgium,1416.0,Imports,2018
Europe,European Union (EU),Bulgaria,226.0,Imports,2018
Europe,European Union (EU),Croatia,41.0,Imports,2018
Europe,European Union (EU),Cyprus,225.0,Imports,2018
Europe,European Union (EU),Czechia,504.0,Imports,2018
Europe,European Union (EU),Denmark,767.0,Imports,2018
Europe,European Union (EU),Estonia,32.0,Imports,2018
Europe,European Union (EU),Finland,296.0,Imports,2018
Europe,European Union (EU),France,6264.0,Imports,2018
Europe,European Union (EU),Germany,6561.0,Imports,2018
Europe,European Union (EU),Greece,121.0,Imports,2018
Europe,European Union (EU),Hungary,362.0,Imports,2018
Europe,European Union (EU),Ireland,8914.0,Imports,2018
Europe,European Union (EU),Italy,2236.0,Imports,2018
Europe,European Union (EU),Latvia,74.0,Imports,2018
Europe,European Union (EU),Lithuania,238.0,Imports,2018
Europe,European Union (EU),Luxembourg,2135.0,Imports,2018
Europe,European Union (EU),Malta,129.0,Imports,2018
Europe,European Union (EU),Netherlands,4991.0,Imports,2018
Europe,European Union (EU),Poland,1051.0,Imports,2018
Europe,European Union (EU),Portugal,364.0,Imports,2018
Europe,European Union (EU),Romania,295.0,Imports,2018
Europe,European Union (EU),Slovakia,278.0,Imports,2018
Europe,European Union (EU),Slovenia,32.0,Imports,2018
Europe,European Union (EU),Spain,1911.0,Imports,2018
Europe,European Union (EU),Sweden,3181.0,Imports,2018
Europe,European Free Trade Association (EFTA),Iceland,19.0,Imports,2018
Europe,European Free Trade Association (EFTA),Liechtenstein,28.0,Imports,2018
Europe,European Free Trade Association (EFTA),Norway,672.0,Imports,2018
Europe,European Free Trade Association (EFTA),Switzerland,4120.0,Imports,2018
Europe,Other Europe,Russia,356.0,Imports,2018
Europe,Other Europe,Isle Of Man,40.0,Imports,2018
Europe,Other Europe,Turkey,198.0,Imports,2018
Europe,Other Europe,Rest Of Europe,924.0,Imports,2018
Europe,Other Europe,Europe Unallocated,1832.0,Imports,2018
America,America,Brazil,258.0,Imports,2018
America,America,Canada,1106.0,Imports,2018
America,America,Mexico,101.0,Imports,2018
America,America,USA,20953.0,Imports,2018
America,America,Rest Of America,842.0,Imports,2018
America,America,America Unallocated,41.0,Imports,2018
Asia,Asia,China,1036.0,Imports,2018
Asia,Asia,Hong Kong,850.0,Imports,2018
Asia,Asia,India,3628.0,Imports,2018
Asia,Asia,Indonesia,52.0,Imports,2018
Asia,Asia,Israel,470.0,Imports,2018
Asia,Asia,Japan,3344.0,Imports,2018
Asia,Asia,Malaysia,152.0,Imports,2018
Asia,Asia,Pakistan,42.0,Imports,2018
Asia,Asia,Philippines,215.0,Imports,2018
Asia,Asia,Saudi Arabia,152.0,Imports,2018
Asia,Asia,Singapore,1341.0,Imports,2018
Asia,Asia,South Korea,321.0,Imports,2018
